order_id,order_date,ship_date,ship_mode,customer_id,location_id
CA-2021-100387,2021-12-03,2021-12-06,Second Class,CG-10046,2
CA-2022-100388,2022-05-31,2022-06-01,Second Class,CG-10049,8
CA-2024-100389,2024-01-16,2024-01-18,Standard Class,CG-10034,3
CA-2024-100390,2024-05-11,2024-05-12,Standard Class,CG-10016,4
CA-2022-100391,2022-01-15,2022-01-20,Second Class,CG-10007,6
CA-2021-100392,2021-04-14,2021-04-15,First Class,CG-10048,6
CA-2022-100393,2022-12-11,2022-12-17,Same Day,CG-10010,5
CA-2023-100394,2023-10-25,2023-10-31,Same Day,CG-10041,5
CA-2024-100395,2024-05-30,2024-06-03,First Class,CG-10014,4
CA-2022-100396,2022-02-15,2022-02-18,Same Day,CG-10034,1
CA-2024-100397,2024-03-24,2024-03-29,Standard Class,CG-10030,6
CA-2023-100398,2023-11-19,2023-11-23,Standard Class,CG-10045,5
CA-2024-100399,2024-06-03,2024-06-09,Second Class,CG-10053,1
